"Date","Price","Open","High","Low","Change %"
"04/30/2025","3.110","3.151","3.163","3.103","-0.69%"
"04/29/2025","3.132","3.198","3.205","3.122","-0.79%"
"04/28/2025","3.157","3.188","3.226","3.151","-0.47%"
"04/25/2025","3.171","3.186","3.206","3.148","-0.63%"
"04/24/2025","3.191","3.213","3.262","3.169","-1.51%"
"04/23/2025","3.240","3.155","3.255","3.119","1.52%"
"04/22/2025","3.192","3.199","3.253","3.184","-1.31%"
"04/21/2025","3.234","3.152","3.249","3.149","3.19%"
"04/17/2025","3.135","3.114","3.145","3.074","1.89%"
"04/16/2025","3.076","3.129","3.156","3.073","-1.06%"
"04/15/2025","3.109","3.122","3.154","3.087","-0.26%"
"04/14/2025","3.118","3.192","3.217","3.116","-4.50%"
"04/11/2025","3.264","3.204","3.309","3.170","1.02%"
"04/10/2025","3.231","3.210","3.242","3.123","0.92%"
"04/09/2025","3.202","3.156","3.289","3.121","2.14%"
"04/08/2025","3.135","3.054","3.147","3.019","2.57%"
"04/07/2025","3.056","2.862","3.080","2.834","6.07%"
"04/04/2025","2.882","2.940","2.940","2.783","-1.55%"
"04/03/2025","2.927","2.911","2.971","2.869","0.19%"
"04/02/2025","2.921","2.924","2.993","2.880","-0.20%"
"04/01/2025","2.928","2.984","2.984","2.901","-1.31%"
"03/31/2025","2.967","2.973","3.010","2.959","-1.35%"